pixel,wavelength,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int,,10%_Trans,10%_Int,20%_Trans,20%_Int,30%_Trans,30%_Int,FBH_Trans,FBH_Int,FBP_Trans,FBP_Int,RW_Trans,RW_Int,BW_Trans,BW_Int,YW_Trans,YW_Int
,,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,xiaomi14,,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70,redmik70
1,1,0.81900233,0.34848005,0.17223139,0.05557333,0.03944954,0.004586667,0.43772528,0.11658667,0.12122314,0.03552,0.11725397,0.020586668,0.2423077,0.07392,0.42206973,0.07221333,,0.661568,1.4301158,0.67824346,1.4304003,1.0010703,1.4301158,0.71607393,1.6069334,0.78235054,1.4241422,0.9850004,1.4079288,0.9980808,1.4238933,0.99721223,1.4244269
2,2,0.83001906,0.34728,0.15807992,0.050319996,0.03571429,0.00408,0.42965895,0.11287999,0.10991141,0.03176,0.11502782,0.01984,0.22752734,0.06824,0.4086493,0.06728001,,0.6533636,1.4301869,0.6681532,1.4304003,1.0008024,1.4301869,0.70772946,1.6029601,0.7755055,1.4248,0.9883421,1.4129866,0.99820656,1.4250133,0.9977232,1.4256802
3,3,0.8412922,0.34502402,0.15138076,0.048064,0.035876997,0.004032,0.43570727,0.112768,0.09984363,0.028607998,0.108330205,0.01856,0.21593113,0.064192005,0.40409616,0.06566401,,0.65182984,1.4302294,0.6655155,1.4304003,1.0006418,1.4302294,0.70213157,1.5922773,0.7776162,1.425472,0.9897051,1.4150827,0.99832684,1.4257705,0.99771625,1.425984
4,4,0.8464854,0.32678398,0.12842503,0.039296005,0.027967682,0.00288,0.4298084,0.104832,0.07483962,0.020159999,0.093079746,0.014720001,0.19023722,0.053376004,0.37230372,0.055232,,0.65080667,1.4304003,0.6633821,1.4304003,0.9998509,1.4304641,0.6981544,1.5784321,0.7821061,1.428864,0.99375325,1.4219947,0.99865675,1.4276053,0.9978821,1.4273921
5,5,0.8627145,0.318528,0.10973529,0.032896,0.023091728,0.002304,0.4292388,0.099968,0.059383616,0.015168,0.08969384,0.013312001,0.16709632,0.045632,0.34601447,0.048896004,,0.6532288,1.4304003,0.6633755,1.4304003,1.0000597,1.4305495,0.6940215,1.5597013,0.7861913,1.4288639,0.99434847,1.4225495,0.99855316,1.428288,0.99780786,1.4273922
6,6,0.896989,0.326016,0.109052636,0.033152,0.019366197,0.002112,0.44811323,0.103360005,0.059311382,0.015104,0.09349767,0.014080001,0.1539519,0.043007996,0.34595302,0.050880004,,0.6619477,1.4304003,0.66752297,1.4304003,1.000179,1.4306136,0.69093144,1.5324159,0.79978263,1.4288427,0.99327385,1.4208426,0.9985384,1.4283733,0.99709195,1.4263681
7,7,0.92784065,0.330816,0.11060003,0.033855997,0.017573697,0.001984,0.45981258,0.103616,0.060758226,0.015488002,0.09690723,0.015040002,0.14176245,0.040256,0.35097376,0.053056,,0.6676093,1.4304003,0.6709698,1.4304003,0.9999554,1.4306136,0.691974,1.5216638,0.8117197,1.4299947,0.99354225,1.4212054,0.99880695,1.4288428,0.99686855,1.4261762
8,8,0.93414384,0.32953602,0.11349174,0.03424,0.013392858,0.001536,0.4534179,0.100608,0.06661543,0.01664,0.09915016,0.015680002,0.13216454,0.037632003,0.34837627,0.052864004,,0.6698503,1.4304003,0.6717159,1.4304003,0.9997318,1.4306136,0.6913961,1.5173546,0.8230026,1.4312959,0.9934826,1.42112,0.99901575,1.4292481,0.9969731,1.4264321
9,9,0.9524331,0.33318397,0.120900735,0.035392,0.014469454,0.001728,0.43047893,0.09491201,0.073439114,0.018368002,0.09769231,0.016256,0.12823373,0.0368,0.3643791,0.057088003,,0.66209155,1.4304003,0.6707214,1.4304003,0.9995231,1.4305495,0.684685,1.5164586,0.8305566,1.4324907,0.99336386,1.4210562,0.99931407,1.4298668,0.9978374,1.4273281
